name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Chevrolet Cruze LTZ AT,2015.0,,50000.0,Deisel,Indvidual,,First Owner
Nissan Micra XL,2014.0,210000.0,40000.0,Petorl,Indvidual,Manual,Second Owner
BMW 5 Series 520d Luxury Line,2017.0,2900000.0,40000.0,Diesl,Indvidual,Automatic,First Owner
,2013.0,425000.0,20000.0,Diesl,Deelar,Manual,First Owner
Hyundai EON Era Plus Option,,265000.0,55000.0,Petrl,Dealerr,Manual,First Owner
Fiat Linea T Jet Emotion,2018.0,890000.0,1136.0,Petrl,Deelar,Manual,First Owner
,2013.0,365000.0,55000.0,Petrrol,Deelar,,First Owner
Ford Figo Petrol Titanium,2014.0,350000.0,43000.0,Petrl,Deelar,Manual,First Owner
Maruti Ciaz ZDi SHVS,2016.0,685000.0,,Diesl,Indvidual,,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,,940000.0,2650.0,Diesl,Deelar,Manual,First Owner
Mahindra XUV500 W6 2WD,2017.0,1000000.0,40000.0,Deisel,Indivudal,Manual,First Owner
Mahindra XUV300 W8 Option,2019.0,1150000.0,,Petrl,None,Manual,First Owner
Maruti Ertiga SHVS ZDI,2016.0,,115962.0,Deisel,Indvidual,Manual,Second Owner
Nissan Terrano XE D,2015.0,590000.0,65000.0,Deisel,Dealerr,Manual,First Owner
Maruti S-Cross Facelift,2017.0,800000.0,40000.0,None,Indivudal,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000.0,58000.0,None,Deelar,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,2000000.0,15000.0,None,Indivudal,Automatic,First Owner
Hyundai EON Era Plus,2012.0,235000.0,54000.0,Petrrol,Dealerr,Manual,
Volkswagen Ameo 1.5 TDI Highline,2017.0,640000.0,56000.0,Deisel,Deelar,Manual,First Owner
Maruti Alto LX,2006.0,52000.0,120000.0,Petrl,Indvidual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009.0,80000.0,90000.0,LPG,Indvidual,Manual,Second Owner
Maruti Alto LX,,140000.0,70000.0,Petrl,Indvidual,Manual,Second Owner
Hyundai Verna i (Petrol),2008.0,120000.0,90000.0,Petrrol,Indvidual,Manual,
Mahindra Renault Logan 1.5 DLS,2008.0,89999.0,213000.0,Diesl,Indivudal,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,2012.0,180000.0,120000.0,Diesl,None,Manual,First Owner
Mahindra Scorpio S11 BSIV,2017.0,1500000.0,20000.0,Diesl,Indvidual,Manual,First Owner
Hyundai i20 Active 1.2 SX,2017.0,700000.0,10000.0,Petorl,Indvidual,Manual,First Owner
Maruti SX4 Celebration Diesel,2012.0,285000.0,80000.0,Deisel,Indivudal,Manual,Second Owner
Hyundai Grand i10 Magna,2015.0,390000.0,90000.0,Petorl,Indivudal,,First Owner
Maruti Alto LXi BSIII,2008.0,125000.0,80000.0,Petrrol,Indivudal,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,2008.0,225000.0,60000.0,Petrrol,None,Manual,Second Owner
Hyundai i10 Era,2011.0,175000.0,139000.0,Petrrol,Indivudal,Manual,Second Owner
Toyota Innova 2.5 V Diesel 7-seater,2011.0,1075000.0,160000.0,Deisel,Indivudal,Manual,Second Owner
Honda Mobilio V i DTEC,2014.0,300000.0,150000.0,Deisel,Indivudal,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010.0,700000.0,163000.0,Diesl,Indivudal,Manual,Fourth & Above Owner
,2009.0,90000.0,120000.0,Diesl,Dealerr,Manual,First Owner
Tata Indica Vista TDI LS,2011.0,120000.0,,Deisel,Indvidual,Manual,
Chevrolet Beat Diesel LS,2012.0,220000.0,100000.0,Deisel,Indivudal,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XE,2015.0,300000.0,140000.0,Deisel,Deelar,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,2010.0,,87000.0,Deisel,Dealerr,Manual,Second Owner
Maruti 800 Std,2013.0,170000.0,70000.0,Petrrol,Indivudal,Manual,First Owner
Ford Figo Petrol Titanium,2015.0,300000.0,50000.0,Petrl,Indivudal,Manual,Second Owner
,2014.0,1050000.0,70000.0,None,Indvidual,Manual,First Owner
Honda Mobilio V i DTEC,2014.0,300000.0,150000.0,Deisel,None,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2018.0,465000.0,,Diesl,Indivudal,Manual,First Owner
Chevrolet Beat Diesel LT,2011.0,130000.0,80000.0,Diesl,Indivudal,Manual,Second Owner
Datsun GO Plus T Option Petrol,2018.0,434999.0,10000.0,Petrl,Indivudal,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2018.0,500000.0,32000.0,Petorl,Indvidual,Manual,First Owner
Maruti Omni MPI STD BSIV,2018.0,200000.0,10000.0,None,Indivudal,Manual,First Owner
Maruti Baleno Alpha 1.2,2017.0,625000.0,52000.0,Petorl,Deelar,Manual,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006.0,110000.0,120000.0,Deisel,Indvidual,Manual,Third Owner
Hyundai Elite i20 Asta Option BSIV,2019.0,800000.0,11240.0,Petrl,Indivudal,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2017.0,490000.0,66000.0,Deisel,Deelar,Manual,First Owner
Maruti Ertiga SHVS ZDI,2017.0,880000.0,64000.0,Deisel,Dealerr,Manual,First Owner
Hyundai Santro Xing GL Plus,2013.0,290000.0,49000.0,Petrrol,Indivudal,Manual,First Owner
Tata Sumo GX TC 7 Str BSIII,2006.0,115999.0,100000.0,Deisel,Indvidual,Manual,Second Owner
Renault KWID RXT,2018.0,360000.0,26500.0,Petorl,Indvidual,Manual,First Owner
Maruti 800 AC,2002.0,65000.0,100000.0,Petrrol,Indvidual,Manual,Second Owner
Maruti Vitara Brezza LDi Option,2017.0,685000.0,72000.0,None,Deelar,Manual,First Owner
Honda Jazz S,2009.0,300000.0,,Petorl,Indvidual,Manual,
Hyundai i20 1.4 Sportz,2017.0,680000.0,44000.0,Diesl,Deelar,,First Owner
Maruti Ertiga SHVS ZDI Plus,2017.0,1000000.0,60000.0,Diesl,Indivudal,Manual,Second Owner
Tata Sumo SE Plus BSIII,2002.0,100000.0,120000.0,Deisel,Indvidual,Manual,First Owner
Mahindra Xylo E4,2010.0,160000.0,130000.0,Deisel,Indivudal,,First Owner
Maruti Swift ZDi BSIV,2017.0,450000.0,70000.0,Deisel,Indivudal,Manual,First Owner
Maruti Ertiga VXI,2014.0,600000.0,20000.0,Petrl,Indvidual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,2009.0,180000.0,60000.0,Deisel,Indivudal,Manual,Second Owner
Maruti Alto LXi,2007.0,100000.0,195000.0,Petorl,Indvidual,Manual,First Owner
Maruti Alto LXi,2010.0,120000.0,90000.0,Petrrol,Indvidual,Manual,Second Owner
Hyundai Getz GL,,130000.0,80000.0,Petrrol,Indvidual,Manual,Third Owner
Maruti Wagon R LX BS IV,2011.0,,155000.0,Petrl,Indvidual,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019.0,860000.0,,Diesl,Indivudal,Manual,First Owner
Hyundai i20 1.2 Spotz,2018.0,650000.0,20000.0,Petrl,Indvidual,Manual,Second Owner
Maruti Wagon R LXI Minor,2010.0,100000.0,80000.0,Petorl,Indivudal,Manual,Second Owner
Maruti Alto 800 VXI,2017.0,282000.0,20000.0,None,Indvidual,Manual,First Owner
Hyundai i20 Asta (o),2009.0,300000.0,50000.0,Petrl,Indivudal,Manual,First Owner
Hyundai i20 Asta,2010.0,270000.0,110000.0,Petrl,Indivudal,Manual,Second Owner
